,10 ppb is lowest calibration level. Anything less than 10 ug/L should be reported as <10 ppb/  ,,,,,,,,
Filter-year,Peak nitrite ,Date of peak,"Date to 
below 10ppb",Filter change bin,Filter change date (not exact…set to 1st of the month…look up actual dates),Days from peak to  below 10ppb,Days from beginning of year to below 10ppb,Days from changeout to peak,Notes
Filter 1-2019,16.88571,43608,43662,none,,54,196,,
Filter 1-2020,56.52395,43901,43985,none,,84,154,,
Filter 1-2021,72.68469,44266,44318,none,,52,121,,
Filter 2-2019,91.97214,43664,43706,fall,43374,42,240,290,
Filter 2-2020,55.50627,43888,NA,none,,,,,June 2020 changeout influenced the tail of the peak
Filter 2-2021,34.42338,44272,44306,sumr,43983,34,109,289,
Filter 3-2019,54.53161,43610,43662,sprg,43525,52,196,85,
Filter 3-2020,51.16693,43892,43966,none,,74,135,,
Filter 3-2021,28.1241,44277,NA,none,,,,,spring 2021 changeout influenced peak tail
Filter 4-2019,99.37054,43609,43644,fall,43374,35,178,235,
Filter 4-2020,42.65356,43894,43972,none,,78,141,,
Filter 4-2021,81.40307,44267,,fall,44105,,,162,
Filter 5-2019,60.96264,43619,43697,sprg,43525,78,231,,
Filter 5-2020,57.75343,43888,43991,none,,103,160,,
Filter 5-2021,55.0178,44267,44326,none,,59,129,,
Filter 6-2019,11.69961,43815,,sprg,43525,,,,
Filter 6-2020,39.81233,43894,43958,none,,64,127,,
Filter 6-2021,38.82271,44272,,none,,,,,
Filter 7-2019,93.42047,43609,43611,sprg,43525,2,145,,
Filter 7-2020,50.84665,43892,43965,fall,43525,73,134,,
Filter 7-2021,61.88439,44267,,none,44105,,,,
Filter 8-2019,55.77998,43609,,sprg,43525,,,,
Filter 8-2020,40.11195,43901,43964,fall,44105,63,133,,
Filter 8-2021,78.513,44266,,none,,,,,
Filter 9-2019,68.35564,43619,,sprg,43525,,,,
Filter 9-2020,37.3482,43895,43978,fall,43739,83,147,,
Filter 9-2021,46.39576,44271,44308,none,,37,111,,
Filter 10-2019,52.37532,43624,43770,sprg,43525,146,304,,
Filter 10-2020,38.61901,43899,43984,fall,43739,85,153,,
Filter 10-2021,55.64934,44270,44312,none,,42,115,,
Filter 11-2019,5.8082,43776,43776,fall,43770,0,310,,
Filter 11-2020,47.66918,43979,43998,none,,19,167,,
Filter 11-2021,,,,none,,,,,
Filter 12-2019,37.04858,43812,,sprg,43556,,,,
Filter 12-2020,42.71039,43873,43997,fall,44105,124,166,,
Filter 12-2021,74.29029,44270,,none,,,,,
Filter 13-2019,34.28484,43812,,sprg,43556,,,,
Filter 13-2020,38.35038,43839,43957,fall,44105,118,126,,
Filter 13-2021,57.06226,44266,44319,none,,53,122,,
Filter 14-2019,41.25361,43812,,sprg,43556,,,,
Filter 14-2020,52.36542,43892,43958,fall,44105,66,127,,
Filter 14-2021,67.91073,44266,,none,,,,,
Filter 15-2019,7.12215,43776,43776,fall,43739,,310,,
Filter 15-2020,50.65551,43887,43994,none,,107,163,,
Filter 15-2021,44.25497,44270,44326,none,,56,129,,
Filter 16-2019,36.79545,43812,,sprg,43556,,,,
Filter 16-2020,43.64541,43895,43985,sprg,44256,90,154,,
Filter 16-2021,,,,none,,,,,
Filter 17-2019,21.12217,43812,,sumr,43983,,,,
Filter 17-2020,41.67204,43852,43958,none,,106,127,,
Filter 17-2021,65.91979,44266,,none,,,,,
Filter 18-2019,16.89132,43812,,fall,43739,,,,
Filter 18-2020,57.47447,43900,44005,none,,105,174,,
Filter 18-2021,55.8313,44270,44305,none,,35,108,,
Filter 19-2019,26.12275,43812,,sumr,43983,,,,
Filter 19-2020,29.2481,43885,44020,none,,135,189,,
Filter 19-2021,63.45788,44270,,none,,,,,
Filter 20-2019,,,,none,,,,,
Filter 20-2020,,,,none,,,,,
Filter 20-2021,,,,none,,,,,
Filter 21-2019,,,,sprg,43556,,,,
Filter 21-2020,30.95801,43851,43965,sprg,44256,114,134,,
Filter 21-2021,,,,none,,,,,
Filter 22-2019,47.12205,43812,,fall,43739,,,,
Filter 22-2020,40.42259,43971,44085,none,,114,254,,
Filter 22-2021,56.55382,44267,,none,,,,,
Filter 23-2019,19.94952,43812,,sumr,43983,,,,
Filter 23-2020,42.50375,43892,43972,none,,80,141,,
Filter 23-2021,26.64695,44300,44313,none,,13,116,,
Filter 24-2019,20.39378,43812,,sprg,43556,,,,
Filter 24-2020,32.29081,43885,43958,fall,44105,73,127,,
Filter 24-2021,,,,none,,,,,
Filter 25-2019,28.1049,43608,,sprg,43556,,,,
Filter 25-2020,38.15408,43881,43956,sprg,44256,75,125,,
Filter 25-2021,49.99229,44270,,none,,,,,
Filter 26-2019,,,,fall,43983,,,,
Filter 26-2020,26.94412,43888,44025,none,,137,194,,
Filter 26-2021,44.2068,44267,44300,none,,33,103,,
