Filter-year,Peak nitrite (10 ug/L = reporting limit),Date of peak,"Date to 
below 10ppb",Filter change bin,Filter change date (not exact…set to 1st of the month…look up actual dates),Days from peak to  below 10ppb,Days from beginning of year to below 10ppb,Days from changeout to peak,Notes
Filter 1-2019,17,5/23/2019,7/16/2019,none,,54,196,,
Filter 1-2020,57,3/11/2020,6/3/2020,none,,84,154,,
Filter 1-2021,73,3/11/2021,5/2/2021,none,,52,121,,
Filter 2-2019,92,7/18/2019,8/29/2019,fall,10/1/2018,42,240,290,
Filter 2-2020,56,2/27/2020,NA,none,,,,,June 2020 changeout influenced the tail of the peak
Filter 2-2021,34,3/17/2021,4/20/2021,sumr,6/1/2020,34,109,289,
Filter 3-2019,55,5/25/2019,7/16/2019,sprg,3/1/2019,52,196,85,
Filter 3-2020,51,3/2/2020,5/15/2020,sprg,,74,135,,
Filter 3-2021,181,5/28/2021,NA,sprg,3/1/2021,,,,spring 2021 changeout influenced peak tail
Filter 4-2019,99,5/24/2019,6/28/2019,fall,10/1/2018,35,178,235,
Filter 4-2020,43,3/4/2020,5/21/2020,none,,78,141,,
Filter 4-2021,81,3/12/2021,,fall,10/1/2020,,,162,
Filter 5-2019,61,6/3/2019,8/20/2019,sprg,3/1/2019,78,231,,
Filter 5-2020,58,2/27/2020,6/9/2020,sprg,,103,160,,
Filter 5-2021,55,3/12/2021,5/10/2021,none,,59,129,,
Filter 6-2019,12,12/16/2019,,sprg,3/1/2019,,,,
Filter 6-2020,40,3/4/2020,5/7/2020,sprg,,64,127,,
Filter 6-2021,39,3/16/2021,,none,,,,,
Filter 7-2019,93,5/24/2019,5/26/2019,sprg,3/1/2019,2,145,,
Filter 7-2020,51,3/2/2020,5/14/2020,sprg,,73,134,,
Filter 7-2021,62,3/12/2021,,fall,10/1/2020,,,,
Filter 8-2019,56,5/24/2019,,sprg,3/1/2019,,,,
Filter 8-2020,40,3/11/2020,5/13/2020,sprg,,63,133,,
Filter 8-2021,79,3/11/2021,,fall,10/1/2020,,,,
Filter 9-2019,68,6/3/2019,,sprg,3/1/2019,,,,
Filter 9-2020,37,3/5/2020,5/27/2020,sprg,,83,147,,
Filter 9-2021,46,3/16/2021,4/22/2021,fall,10/1/2020,37,111,,
Filter 10-2019,52,6/8/2019,11/1/2019,sprg,3/1/2019,146,304,,
Filter 10-2020,39,3/9/2020,6/2/2020,sprg,,85,153,,
Filter 10-2021,56,3/15/2021,4/26/2021,fall,10/1/2020,42,115,,
Filter 11-2019,6,11/7/2019,11/7/2019,fall,11/1/2019,0,310,,
Filter 11-2020,48,5/28/2020,6/16/2020,fall,,19,167,,
Filter 11-2021,18,5/27/2021,,none,,,,,
Filter 12-2019,37,12/13/2019,,sprg,4/1/2019,,,,
Filter 12-2020,43,2/12/2020,6/15/2020,sprg,,124,166,,
Filter 12-2021,74,3/15/2021,,fall,10/1/2020,,,,
Filter 13-2019,34,12/13/2019,,sprg,4/1/2019,,,,
Filter 13-2020,38,1/9/2020,5/6/2020,sprg,,118,126,,
Filter 13-2021,57,3/11/2021,5/3/2021,sumr,6/1/2020,53,122,,
Filter 14-2019,41,12/13/2019,,sprg,4/1/2019,,,,
Filter 14-2020,52,3/2/2020,5/7/2020,sprg,,66,127,,
Filter 14-2021,68,3/11/2021,,fall,10/1/2020,,,,
Filter 15-2019,7,11/7/2019,11/7/2019,fall,10/1/2019,,310,,
Filter 15-2020,51,2/26/2020,6/12/2020,fall,,107,163,,
Filter 15-2021,44,3/15/2021,5/10/2021,none,,56,129,,
Filter 16-2019,37,12/13/2019,,sprg,4/1/2019,,,,
Filter 16-2020,44,3/5/2020,6/3/2020,sprg,,90,154,,
Filter 16-2021,117,5/28/2021,,sprg,3/1/2021,,,,
Filter 17-2019,21,12/13/2019,,none,,,,,
Filter 17-2020,42,1/22/2020,5/7/2020,none,,106,127,,
Filter 17-2021,66,3/11/2021,,sumr,6/1/2020,,,,
Filter 18-2019,17,12/13/2019,,fall,10/1/2019,,,,
Filter 18-2020,57,3/10/2020,6/23/2020,fall,,105,174,,
Filter 18-2021,56,3/15/2021,4/19/2021,none,,35,108,,
Filter 19-2019,26,12/13/2019,,none,,,,,
Filter 19-2020,29,2/24/2020,7/8/2020,none,,135,189,,
Filter 19-2021,63,3/15/2021,6/1/2021,sumr,6/1/2020,,,,
Filter 20-2019,,,,none,,,,,
Filter 20-2020,,,,none,,,,,
Filter 20-2021,,,,none,,,,,
Filter 21-2019,,,,sprg,4/1/2019,,,,
Filter 21-2020,31,1/21/2020,5/14/2020,sprg,,114,134,,
Filter 21-2021,,,,sprg,3/1/2021,,,,
Filter 22-2019,47,12/13/2019,,fall,10/1/2019,,,,
Filter 22-2020,40,5/20/2020,9/11/2020,fall,,114,254,,
Filter 22-2021,57,3/12/2021,5/18/2021,none,,,,,
Filter 23-2019,20,12/13/2019,,none,,,,,
Filter 23-2020,43,3/2/2020,5/21/2020,none,,80,141,,
Filter 23-2021,27,4/14/2021,4/27/2021,sumr,6/1/2020,13,116,,
Filter 24-2019,20,12/13/2019,,sprg,4/1/2019,,,,
Filter 24-2020,32,2/24/2020,5/7/2020,sprg,,73,127,,
Filter 24-2021,44,5/28/2021,6/2/2021,fall,10/1/2020,5,,,
Filter 25-2019,28,5/23/2019,,sprg,4/1/2019,,,,
Filter 25-2020,38,2/20/2020,5/5/2020,sprg,,75,125,,
Filter 25-2021,95,6/8/2021,,sprg,3/1/2021,,,,
Filter 26-2019,,,,none,,,,,
Filter 26-2020,27,2/27/2020,7/13/2020,none,,137,194,,
Filter 26-2021,44,3/12/2021,4/14/2021,sumr,6/1/2020,33,103,,
